Name,Period,Maximum Temperature,Minimum Temperature,Temperature,Wind Chill,Heat Index,Precipitation,Snow Depth,Wind Speed,Wind Gust,Visibility,Cloud Cover,Relative Humidity
Detroit,1 Mar,43.1,20.7,33.2,12,,0,,16.2,,9.4,11.4,62.89
Detroit,2 Mar,52.5,40.5,46.3,35.8,,0.2,,17,33.3,8.3,40.7,79.71
Detroit,3 Mar,48.6,31.4,40.1,31.1,,0,,21.9,41.4,8.3,38.1,72.07
Detroit,4 Mar,45.6,33.1,38.6,25.9,,0,,13,,9.4,21.3,59.9
Detroit,5 Mar,45.9,25.8,36.1,19.7,,0,,15.1,29.8,9.3,11.9,65.97
Detroit,6 Mar,37.3,29.6,33.8,18.2,,0.02,,25.3,41.4,8.4,50.6,80.37
Detroit,7 Mar,42.1,24.5,33.2,18.2,,0,,13.3,,9.4,14.1,60.27
Detroit,8 Mar,58,33.1,46,25.9,,0,,18.7,31.1,9.4,4.3,50.24
Detroit,9 Mar,61.1,45.9,53.6,40.5,,0.01,,20,33.3,9.4,24,51.59
Detroit,10 Mar,52.9,32.7,46,29.2,,0.13,,20,33.3,8.4,34.2,79.9
Detroit,11 Mar,44.8,29.7,38.1,24.9,,0,,10.8,,8.9,48,80.2
Detroit,12 Mar,50.7,37.8,43,33.5,,0.02,,13.3,,7,45.6,83.37
Detroit,13 Mar,48.1,38.6,43.7,28.6,,0,,27.7,43.6,9,32,53.58
Detroit,14 Mar,37.3,29.9,34.2,23.7,,0,,11.4,,9.5,19,60.91
Detroit,15 Mar,43,29.6,34.9,21.6,,0,,14.4,,9.4,12.5,57.88
Detroit,16 Mar,45.5,25.8,35.3,18.6,,0,,10.2,,9.3,23.5,71.2
Detroit,17 Mar,50.9,37.4,42.9,31.1,,0,,13.9,,9.2,34.5,60.59
Detroit,18 Mar,46.8,31.5,38.5,26.9,,0.31,,12.8,,7.9,29.3,74.25
Detroit,19 Mar,52.1,39.6,42.7,33.6,,0.19,,12.3,,5.1,53.3,94.49
Detroit,20 Mar,63.1,30.1,50,18.6,,0,,28.4,41.4,9,51.2,75.84
Detroit,21 Mar,34.9,24.5,29.3,14.8,,0,,16.2,29.8,9.4,32.7,58.11
Detroit,22 Mar,38.1,20.6,30.1,13.5,,0.02,,13.9,,8.7,18.8,66.81
Detroit,23 Mar,41.1,32.1,36.3,25.3,,0.08,,9.7,,7,53.3,86.59
Detroit,24 Mar,41.7,35.6,38.4,29.9,,0,,11.4,,9.3,47.8,74.16
Detroit,25 Mar,54.5,31.4,42.1,25.7,,0,,10.8,,8.8,9.3,76.03
Detroit,26 Mar,57.1,39.6,48,33.9,,0.09,,13.3,,9,35.1,78.73
Detroit,27 Mar,43.5,34.5,39.3,25.9,,0,,12,,8.9,49.6,89.57
Detroit,28 Mar,50.1,39.6,44.4,33.8,,1.31,,13.5,,4.8,46.7,97.69
Detroit,29 Mar,63.6,45.6,52.5,39.3,,0.41,,31.8,52.8,8.4,52.7,76.2
Detroit,30 Mar,48.9,42.5,44.1,35.2,,0,,21.4,42.5,9.4,54.3,69.33
Detroit,31 Mar,46.1,39.1,41.5,33.4,,0,,11.4,,9.3,55.3,83.41
Detroit,1 Apr,49.3,40.3,44.5,36.2,,0,,9.3,,8.7,45,74.97
Detroit,2 Apr,60.1,36.9,47.6,32.2,,0,,12,,9.4,0,54.36
Detroit,3 Apr,57.4,33.8,45,30.5,,0,,12.7,,9.2,0,58.54
Detroit,4 Apr,58.4,34,46.6,35.2,,0,,8.6,,9.3,28.1,65.43
Detroit,5 Apr,48.9,38.3,43.7,33.6,,0,,11.4,,9.4,29.7,74.5
Detroit,6 Apr,56.6,31.4,44.8,44.6,,0,,8.6,,8.9,14.3,56.28
Detroit,7 Apr,60,43.5,50.1,41.9,,0.41,,11.4,31.1,7.4,46.1,75.25
Detroit,8 Apr,70,49.3,58.4,46,,0.25,,11.2,32.2,7.7,31.6,66.44
Detroit,9 Apr,50.9,35.8,43.2,27.6,,0.08,,22.3,40.3,9.2,39.6,66.83
Detroit,10 Apr,44.3,34,39,23.6,,0,,20,39.1,9.4,46.1,52.97
Detroit,11 Apr,56.3,30.4,44.2,24.6,,0,,16.5,,9.4,15.6,52.87
Detroit,12 Apr,61,45.5,52.2,42.2,,0.04,,14.7,,9.3,51.6,69.14
Detroit,13 Apr,53.6,38.1,46.4,28.7,,0.2,,29.6,49.4,7.4,49.1,72.26
Detroit,14 Apr,42.5,29.7,36.3,22.8,,0,,19.5,32.2,9.4,20.2,49.16
Detroit,15 Apr,36.6,27.9,31.9,20.7,,0.06,,10.8,,7.8,38.5,74.32
Detroit,16 Apr,41.9,25.8,34.3,18,,0,,16,32.2,9.2,28.7,50.24
Detroit,17 Apr,36.5,30.4,33.3,25.3,,0.15,,9.8,,6.6,44.2,79.65
Detroit,18 Apr,52.5,29.7,41.7,23.2,,0,,23,34.4,7.7,16.5,69.04
Detroit,19 Apr,60.1,35.3,47,28.6,,0,,19.3,29.8,9.4,24.3,59.97
Detroit,20 Apr,54.6,30.1,42.7,25.8,,0,,19,,9.4,6.1,52.51
Detroit,21 Apr,50.3,34,40,25.6,,0.09,,22.9,42.5,9,47.1,52.87
Detroit,22 Apr,38.6,27.5,33.6,23,,0.11,,9.1,,8.8,39,60.08
Detroit,23 Apr,42.5,34.5,39.5,28.9,,0.07,,13.1,,8.3,53.3,88.74
Detroit,24 Apr,54.6,39.1,45.9,33.5,,0,,9.8,,8.9,48.4,70.88
Detroit,25 Apr,54.6,35.8,46.6,30.9,,0,,17.1,,9.4,29.5,56.64
Detroit,26 Apr,58.8,46.4,51.8,39.7,,0,,21.9,40.3,9.4,24.5,41.78
Detroit,27 Apr,60.6,36.5,49.6,34.4,,0,,16,,9.2,11.1,60.2
Detroit,28 Apr,66.5,48.4,56.6,45.3,,0.06,,16.1,,9.3,25.9,69.52
Detroit,29 Apr,67.3,52,58.6,,,0.21,,22.7,37.8,9.3,45.3,79
Detroit,30 Apr,54.5,45.9,51.3,39.5,,0.04,,14.6,,8.8,50.9,82.17
Detroit,1 May,63.5,44.8,52.7,39.2,,0.02,,13.3,,9.2,20.8,64.47
Detroit,2 May,78.5,51.3,63.5,,,0,,21.4,34.4,9.4,25.7,56.96
Detroit,3 May,74.3,48.9,64.7,43.5,,0,,16,29.8,9.4,1.9,47.49
Detroit,4 May,52.9,41.7,47,35.6,,0,,13.3,,9.4,24.4,61.46
Detroit,5 May,50.7,37.3,43.7,30.5,,0,,15.5,,9.4,16.7,51.74
Detroit,6 May,59.7,38.6,48.6,32.1,,0,,13.3,,9.4,6.2,40.18
Detroit,7 May,64.8,37.9,49.1,33.8,,0,,23.4,40.3,9.4,27.5,49.68
Detroit,8 May,43,31.4,38.4,26.6,,0,,16.6,43.6,9.3,43.7,58.42
Detroit,9 May,50.7,30.1,40,21,,0,,20.5,37.8,9.4,38.9,42.11
Detroit,10 May,59.7,36.1,48.4,27.9,,0.41,,18,34.4,8.7,49.9,57.14
Detroit,11 May,45.5,34.9,40.7,27.5,,0.02,,14.3,,9.1,47.1,68.75
Detroit,12 May,58.4,34,45.9,29.4,,0,,17.1,31.1,9.4,19.3,50.31
Detroit,13 May,56.1,32.9,45,31.4,,0,,12,,9.4,0.6,54.31
Detroit,14 May,61.5,43.1,53.2,39.6,,0.89,,9.1,,7.4,52.2,78.19
Detroit,15 May,70.8,56.3,63.5,,,0.7,,17,,7.3,39.5,86.64
Detroit,16 May,68.1,50.7,59,,,0,,12.3,,9.3,21.4,76.28
Detroit,17 May,59.9,50.7,55.6,,,0.15,,15.6,,9,42.8,80.21
Detroit,18 May,58.8,55.3,56.9,,,0.63,,19.5,34.4,8.1,53.3,92.03
Detroit,19 May,68.1,55.3,59.7,,,0.12,,18.4,33.3,9.2,42.5,78.89
Detroit,20 May,64.3,49.8,58.1,48.6,,0,,17.8,,9.4,4.5,56.47
Detroit,21 May,68.7,51.5,60.7,,,0,,9.7,,9.4,32.1,61.22
Detroit,22 May,63.9,58.8,61.3,,,0.06,,6.4,,8,52.9,85.82
Detroit,23 May,70.9,58.8,64.3,,,0,,9.2,,7.9,35.9,83.89
Detroit,24 May,83.6,58.3,71.8,,87.2,0.1,,19.1,,9.2,15.3,75.51
Detroit,25 May,86.1,65.6,76.7,,88,0,,10.4,,9.4,0.6,68.37
Detroit,26 May,88.8,65.7,77.3,,90.6,0,,10.8,,9.4,1.6,68.89
Detroit,27 May,81.6,66.4,74.4,,83.6,0,,12,,9.3,13,70.9
Detroit,28 May,77.9,67.3,72.6,,,0.14,,16,31.1,9.2,44.9,76.47
Detroit,29 May,71.8,61.5,67.5,,,0.09,,17.7,31.1,9.3,32.7,73.69
Detroit,30 May,68.7,52.8,61.7,,,0,,18.2,32.2,9.4,30.2,60.84
Detroit,31 May,62.3,45.5,53.8,42.4,,0,,11.4,,9.4,2.3,59.1
Detroit,1 Jun,72.5,48.4,62,45.6,,0.07,,16.2,,9.3,15.7,52.03
Detroit,2 Jun,88.5,59.1,74.7,,91.5,0.02,,16.7,,9.4,19.8,60.59
Detroit,3 Jun,83.7,70.8,77.8,,82.8,0,,17.2,47.2,9.4,8,56.6
Detroit,4 Jun,83.7,61.5,74.5,,84.9,0,,12.8,,9.4,14.7,63.29
Detroit,5 Jun,87.6,65.7,76.9,,86.1,0,,13,,9.2,7.6,62.99
Detroit,6 Jun,81.9,61,71.3,,80.9,0,,16.6,,9.4,14.1,60.06
Detroit,7 Jun,72.6,54.6,63.8,,,0,,10.8,,9.4,1.3,62.54
Detroit,8 Jun,79,53.8,66.7,,,0,,9.2,,9.4,0,54.5
Detroit,9 Jun,89.7,59.7,75.6,,86.8,0,,16.4,31.1,9.4,8.2,50.07
Detroit,10 Jun,91.5,70,79.6,,98,0.69,,28.8,41.4,9,35.4,72.37
Detroit,11 Jun,77.7,61,69.4,,,0.01,,24,41.4,9.3,23.6,54.96
Detroit,12 Jun,72.5,56.6,63.6,,,0,,13.9,,9.4,28.3,64.13
Detroit,13 Jun,65.3,49.4,57.5,46.3,,0,,14.9,,9.4,5.7,55.24
Detroit,14 Jun,69.1,47.6,59.4,44.7,,0,,16.6,,9.4,0,54.92
Detroit,15 Jun,74.6,52.3,64,,,0,,13.1,,9.4,0,60.03
Detroit,16 Jun,79.5,57.6,69,,,0,,9.6,,9.4,0.6,56.59
Detroit,17 Jun,81.6,56.3,70.9,,81,0,,9.6,,9.4,0,53.99
Detroit,18 Jun,84.9,61.5,74.1,,84.3,0,,10.8,,9.4,3.1,55.4
Detroit,19 Jun,85.4,64.8,76.4,,86.1,0,,9.7,,9.4,10.1,57.05
Detroit,20 Jun,90.1,65.6,78.8,,89.4,0,,11.4,,9.3,9.8,58.28
Detroit,21 Jun,84.1,71.8,78.1,,85.3,0,,12,,9.3,16.1,61.53
Detroit,22 Jun,83.1,70.9,75.6,,84.8,0.02,,9.6,,9.4,33.9,71.62
Detroit,23 Jun,79,65.1,71.3,,,0.86,,22.4,40.3,8.5,36.2,74.92
Detroit,24 Jun,74.7,61,67.3,,,0,,14.3,,9.4,26.1,57.1
Detroit,25 Jun,80.3,59.1,70.9,,80,0,,13.6,,9.4,14.9,56.59
Detroit,26 Jun,83.7,61.1,73.6,,83.6,1.13,,17.1,31.1,9.2,20.4,57.87
Detroit,27 Jun,83.7,66.6,74.8,,88,1.09,,15.4,,8.5,43.3,78.53
Detroit,28 Jun,83.3,62.8,74.4,,84.6,0,,10.3,,9.4,1.9,66.34
Detroit,29 Jun,83.3,64.4,75,,83.1,0,,7.5,,9.4,0,61.75
Detroit,30 Jun,86.1,65.7,76.4,,86.8,0,,10.8,,9.4,6.6,61.66
Detroit,1 Jul,86.7,66.4,77.1,,87.6,0,,11.6,,9.4,2.4,63.85
Detroit,2 Jul,88,69.1,79.7,,88.8,0,,9.2,,9.4,1.3,57.74
Detroit,3 Jul,91.8,71.6,82.1,,98.9,0,,11.4,,9.3,6.3,60.17
Detroit,4 Jul,87.5,71.3,79.5,,86.9,0,,11.7,,9.1,5.4,57.14
Detroit,5 Jul,90.1,63.9,78.3,,87.9,0,,9.8,,8.9,0,47.71
Detroit,6 Jul,92.6,69.6,81.6,,93.7,0,,12.8,,9.4,14.2,57.69
Detroit,7 Jul,93.5,71.6,81.9,,97.4,0.02,,16.7,,9,16.6,60.75
Detroit,8 Jul,87.6,71.8,79.6,,95.2,1.48,,11.4,35.6,9.4,5.9,72.07
Detroit,9 Jul,91.8,72.5,82.8,,96.5,0,,10.2,,9.1,3.9,68.39
Detroit,10 Jul,87.6,71.3,77.7,,94,0.34,,10.8,36.7,8.9,23.3,79.63
Detroit,11 Jul,85.3,68.7,76.7,,85.2,1.22,,16,29.8,9.2,38,66.15
Detroit,12 Jul,82.8,68.1,75.1,,83.3,0,,12,,9.4,25.7,61.57
Detroit,13 Jul,78.5,62.8,71,,,0,,8.6,,9.4,24.1,67.77
Detroit,14 Jul,82.8,63.5,73.5,,83.1,0,,8.6,,9.4,9,65.89
Detroit,15 Jul,86.7,67.5,77.5,,88.1,0,,12.7,,9.4,7.2,64.83
Detroit,16 Jul,77.1,71.8,74.8,,,0.69,,9,,7.9,39.3,85.53
Detroit,17 Jul,85.8,67.8,77,,87.3,0,,10.9,,9,0,68.23
Detroit,18 Jul,89.6,70.1,80.6,,95.3,0,,15.6,,9.3,12.6,69.71
Detroit,19 Jul,82.8,71.8,78.3,,89.7,0.72,,15.4,37.8,8.9,16.8,79.3
Detroit,20 Jul,84.4,70,77.2,,85,0,,13.3,,9.4,11.1,67.78
Detroit,21 Jul,80.8,67.4,72.9,,83.1,0,,9.6,,9.4,19.7,75
Detroit,22 Jul,83.3,71.8,77.2,,87.9,0.01,,16.1,,9.4,37.9,78.44
Detroit,23 Jul,80.6,67.4,74.9,,82.9,0,,13.9,,9.4,41.9,73.66
Detroit,24 Jul,81.9,62.8,72.8,,82.6,0,,8,,9.4,1.7,67.76
Detroit,25 Jul,86.3,65.3,76.1,,87.1,0,,9.2,,9.4,2.8,66.42
Detroit,26 Jul,90.5,70.1,80.7,,97.6,0,,13.3,,9.4,6.7,67.14
Detroit,27 Jul,88,77.1,82.2,,94.1,0,,14,,9.4,8.4,69.51
Detroit,28 Jul,86.1,66.4,77.1,,85.6,0,,16.7,,9.4,12.4,56.18
Detroit,29 Jul,84.1,70.8,77.1,,88.9,0.44,,15.6,,9.2,26.7,66.7
Detroit,30 Jul,80.3,68.1,73.8,,81,0,,11.4,,9.4,26.5,69.4
Detroit,31 Jul,82.3,63.5,73.2,,82.2,0,,11.4,,9.4,11.3,66.75
Detroit,1 Aug,78.1,65.6,71.6,,,0.25,,9.7,,9,29.1,83.56
Detroit,2 Aug,73.3,65.3,70.8,,,1.36,,15.4,,7.6,41.6,87.6
Detroit,3 Aug,79.5,63.5,71.2,,,0.39,,12,,9.1,26.7,81.69
Detroit,4 Aug,71.8,63.5,67.2,,,0,,13.9,,9.4,52.7,78.01
Detroit,5 Aug,74.3,57.4,67,,,0,,7.4,,9.4,19.5,64.37
Detroit,6 Aug,76.3,60.1,68.9,,,0,,10.2,,9.5,5.6,57.74
Detroit,7 Aug,79,60.1,70.4,,,0,,9.7,,9.2,0.7,61.36
Detroit,8 Aug,81.9,59.8,72.2,,81.8,0,,12,,9.3,2.4,62.8
Detroit,9 Aug,87.1,68.3,78.1,,93.9,0,,14.3,,9.4,11.6,67.03
Detroit,10 Aug,87.1,73.4,80.6,,92.7,0,,19.1,,9.4,7.4,69.65
Detroit,11 Aug,85.3,71.8,77.7,,86.4,0,,12.1,,9.4,23.5,63.43
Detroit,12 Aug,83,63.5,74.2,,81.6,0,,8.2,,9.3,0,57.66
Detroit,13 Aug,84.8,62.9,75.5,,84.5,0,,11.4,,9.8,3.3,59.8
Detroit,14 Aug,82,70.3,75.6,,86.2,0.17,,16.7,,9.1,19.6,70.66
Detroit,15 Aug,84.1,68.9,75.5,,88.4,0,,9.3,,9,3.1,71.25
Detroit,16 Aug,79.8,65.7,72.6,,,0.68,,11.1,,8.9,39.6,76.63
Detroit,17 Aug,80.8,63.1,71.6,,81,0,,9.2,,9.2,18.4,67.08
Detroit,18 Aug,76.8,62.3,68.7,,,0,,12.6,,9.3,16.1,61.87
Detroit,19 Aug,73.9,59.1,66.8,,,0,,7.9,,9.3,23.4,62.3
Detroit,20 Aug,78.1,59.3,69.4,,,0,,13.3,,9.5,0,61.98
Detroit,21 Aug,86.3,63.1,74.5,,85.8,0,,10.3,,9.4,3.5,61.6
Detroit,22 Aug,87.6,64.9,76.8,,88.2,0,,9.8,,9.3,3.8,63.84
Detroit,23 Aug,88,66.6,77.6,,90.2,0,,10.4,,8.7,6.4,68.21
Detroit,24 Aug,87.6,69.3,79.6,,92.7,0,,14.3,,9.4,7.8,68.17
Detroit,25 Aug,86.7,70.1,78.6,,85,0,,9.8,,9.4,15.9,60.96
Detroit,26 Aug,82.8,67.4,73.3,,86.8,0.41,,14.5,,8.9,27.6,78.91
Detroit,27 Aug,92.3,73.8,82.3,,97.3,0.06,,19.9,34.4,9.4,16.8,65.48
Detroit,28 Aug,77.3,69.1,72.4,,,2.75,,16,,8.2,36.2,91.44
Detroit,29 Aug,79,67.4,72.1,,,0.67,,18.7,33.3,9.2,36.5,69.93
Detroit,30 Aug,73.3,59.1,66.2,,,0,,10.2,,9.4,10.3,65.89
Detroit,31 Aug,78.1,59.3,68.7,,,0,,12.2,,9.4,7.7,71.29
Detroit,1 Sep,82.4,63.9,73,,86.5,0.56,,16,36.7,8.7,19.4,82.17
Detroit,2 Sep,80.8,64.9,73.8,,81.6,0,,15.1,,8.7,27.9,73.38
Detroit,3 Sep,83.7,59.8,72.3,,83.5,0,,20.3,37.8,9.4,11.7,63.45
Detroit,4 Sep,73.8,56.7,66.1,,,0,,14.9,,9.5,5.2,52.3
Detroit,5 Sep,73.8,54.6,63.9,,,0,,12.5,,9.4,21.7,64.37
Detroit,6 Sep,72.9,52.5,63.3,,,0.02,,19.7,40.3,9.1,20.3,78.09
Detroit,7 Sep,79.5,66.6,72.4,,,0.94,,23.7,39.1,9.1,42.1,77.08
Detroit,8 Sep,66.6,57.1,62.2,,,0.9,,13.6,,8.5,53.3,88.86
Detroit,9 Sep,69.1,59.1,63.9,,,0,,8.7,,6.5,53.3,88.68
Detroit,10 Sep,64.8,58.4,62.7,,,0,,12.6,,6.9,49.3,85.78
Detroit,11 Sep,65.3,56.1,59.9,,,0,,17.2,,9.4,15.1,71.26
Detroit,12 Sep,77.1,55.4,66.2,,,0,,11.4,,9.3,14.7,81.12
Detroit,13 Sep,76.3,64.3,70.6,,,0.12,,14.9,,9.1,26.4,73.58
Detroit,14 Sep,65.7,53.6,60.7,,,0,,9.2,,9.4,2,70.14
Detroit,15 Sep,67.3,47.7,58.2,,,0,,11.4,,9.4,0,76.72
Detroit,16 Sep,75.6,55.4,64.8,,,0,,12.8,,9.4,8.4,68.14
Detroit,17 Sep,67.8,52.8,61.4,,,0,,13.9,,9.3,20.7,63.7
Detroit,18 Sep,61,47.6,53.6,43.6,,0,,17.2,31.1,9.4,7.1,54.55
Detroit,19 Sep,61,39.1,50.2,36.5,,0,,7.3,,9.3,0,56.76
Detroit,20 Sep,65.6,44.8,55,,,0,,13.3,,9.5,0,62.13
Detroit,21 Sep,53.9,50.1,52,,,0,,3.4,,9.9,0,72.91